#,計畫名稱,單位,起訖日期,職位
1,使用菲涅耳透鏡設計之智慧型隱形眼鏡顯示器開發,麥塔優光學股份有限公司,2018/04/01~2020/3/31,主持人
2,以微發光二極體為機制之智慧型隱形眼鏡微型顯示器系統之開發,教育部,2018/08/01~2020/7/31,主持人
3,可長時間監測眼壓之智慧隱形眼鏡輔助裝置可行性研究,COOPERVISION. INC.,2018/10/01~2020/02/28,主持人
4,運用跨領域科技探索小腦發育及老化解讀腦功能運作(編號：108-2321-B-010-011-MY2),科技部,2019/06/01~2020/12/31,共同主持人
5,應用於智慧型隱形眼鏡系統之可撓式儲能元件與電源管理晶片開發,科技部,2019/08/01~2021/07/31,主持人
6,光傳輸之超高解析度腦神經訊號擷取系統先進異質整合封裝研發－子計畫一：光傳輸之超高解析度腦神經訊號擷取系統多種類電極開發(106-2221-E-009-173-MY3),科技部,2017/08/01~2020/7/31,主持人
