年,主辦單位,獎項名稱,獲獎主題,圖片
2005,國科會,國科會工程處控制學門94年計畫成果發表會海報展出競賽獎佳作獎,應用於日常生活環境之可攜式人性化腦波監控與腦機介面系統 (1/3),
2005,"Brain Research Center, University of Taiwan",Best Poster Award (3rd grade),The Design and Fabrication of Silicon Micro Probe Array,
2004,財團法人宏碁基金會,第18屆宏碁龍騰知識經濟論文優等獎(資訊科技及應用類),The Design and Development of Surface-Micromachined Micro-mirror Devices for Optical Switching Applications,
2004,電子月刊,第9屆電子月刊金筆獎第2名,以微機電技術設計製作應用於光置入擷取多工器之光切換元件,
2004,交通大學,93年度第1學期 績效特優導師,,
2002,財團法人研華文教基金會,第4屆TIC-100科技創新競賽: 最佳原型機設計領導獎,e Home & Office Automation and Security,
2002,國科會,國科會91年度大專學生研究創作獎,以電腦全像為機制之智慧型安全保密系統,
2002,國立交通大學,國立交通大學89學年度第2學期績效特優導師,,
2001,國科會,國科會90年度大專學生研究創作獎,以光電元件為機制之安全辨識系統,
2000,國科會,國科會89年大專學生研究創作獎,以個人電腦為架構六軸控制卡之研製,
2000,2000年義隆盃,『2000年義隆盃單晶片微控制器應用製作大賽優等獎』,家庭自動化控制器,
1999,國科會,98年經濟部技術科專績優計畫『卓越SBIR研發成果』獎項,,
1999,國科會,國科會88年度大專學生研究創作獎,光掃瞄控制組件之研究,
1999,國立交通大學,傑出人士榮譽獎勵,,
1999,國立交通大學,『國立交通大學第8屆思源研發成果競賽銀竹獎』,條碼辨識器之光學元件與解碼電路之設計與製造,
1997,財團法人宏碁基金會,第11屆龍騰論文獎：資訊科技類碩士佳作獎,光碟機區間可變轉速控制模式分析,
